股票代码,交易次数,盈利次数,亏损次数,单次交易胜率(%),平均单笔交易收益率(%),平均持仓时间
000815,0,0,0,0.0,0,0
000816,2,0,2,0.0,0,0
000818,0,0,0,0.0,0,0
000819,0,0,0,0.0,0,0
000820,0,0,0,0.0,0,0
000821,0,0,0,0.0,0,0
000822,0,0,0,0.0,0,0
000823,1,0,1,0.0,0,0
000825,1,0,1,0.0,0,0
000826,0,0,0,0.0,0,0
000828,0,0,0,0.0,0,0
000829,0,0,0,0.0,0,0
000830,2,0,2,0.0,0,0
000831,2,0,2,0.0,0,0
000833,1,1,0,100.0,0,0
000837,1,0,1,0.0,0,0
000838,0,0,0,0.0,0,0
000839,1,1,0,100.0,0,0
000848,0,0,0,0.0,0,0
000850,1,0,1,0.0,0,0
000852,1,0,1,0.0,0,0
000856,0,0,0,0.0,0,0
000858,0,0,0,0.0,0,0
000859,1,0,1,0.0,0,0
000860,0,0,0,0.0,0,0
000862,1,1,0,100.0,0,0
000863,1,0,1,0.0,0,0
000868,0,0,0,0.0,0,0
000869,0,0,0,0.0,0,0
000875,3,1,2,33.33,0,0
000876,0,0,0,0.0,0,0
000877,0,0,0,0.0,0,0
000878,2,1,1,50.0,0,0
000880,2,1,1,50.0,0,0
000881,1,0,1,0.0,0,0
000882,1,0,1,0.0,0,0
000883,0,0,0,0.0,0,0
000885,0,0,0,0.0,0,0
000886,0,0,0,0.0,0,0
000887,1,0,1,0.0,0,0
000888,3,0,3,0.0,0,0
000889,0,0,0,0.0,0,0
000890,2,2,0,100.0,0,0
000892,0,0,0,0.0,0,0
000893,1,1,0,100.0,0,0
000895,1,1,0,100.0,0,0
000897,0,0,0,0.0,0,0
000898,0,0,0,0.0,0,0
000899,1,0,1,0.0,0,0
000900,0,0,0,0.0,0,0
000901,4,2,2,50.0,0,0
000902,1,1,0,100.0,0,0
000903,0,0,0,0.0,0,0
000905,0,0,0,0.0,0,0
000906,0,0,0,0.0,0,0
000908,0,0,0,0.0,0,0
000909,2,0,2,0.0,0,0
000910,0,0,0,0.0,0,0
000911,0,0,0,0.0,0,0
000912,1,1,0,100.0,0,0
000913,0,0,0,0.0,0,0
000915,0,0,0,0.0,0,0
000917,0,0,0,0.0,0,0
000919,1,1,0,100.0,0,0
000920,1,0,1,0.0,0,0
000921,0,0,0,0.0,0,0
000922,2,0,2,0.0,0,0
000923,3,1,2,33.33,0,0
000925,1,1,0,100.0,0,0
000926,0,0,0,0.0,0,0
000927,2,1,1,50.0,0,0
000928,1,0,1,0.0,0,0
000929,0,0,0,0.0,0,0
000930,1,1,0,100.0,0,0
000931,0,0,0,0.0,0,0
000932,1,0,1,0.0,0,0
000933,0,0,0,0.0,0,0
000935,2,0,2,0.0,0,0
000936,1,0,1,0.0,0,0
000937,0,0,0,0.0,0,0
000938,1,0,1,0.0,0,0
000948,0,0,0,0.0,0,0
000949,2,0,2,0.0,0,0
000950,2,0,2,0.0,0,0
000951,2,2,0,100.0,0,0
000952,0,0,0,0.0,0,0
000953,0,0,0,0.0,0,0
000955,0,0,0,0.0,0,0
000957,2,1,1,50.0,0,0
000958,1,0,1,0.0,0,0
000959,0,0,0,0.0,0,0
000960,2,0,2,0.0,0,0
000962,1,0,1,0.0,0,0
000963,0,0,0,0.0,0,0
000965,0,0,0,0.0,0,0
000966,1,1,0,100.0,0,0
000967,2,1,1,50.0,0,0
000968,4,1,3,25.0,0,0
000969,0,0,0,0.0,0,0
000970,2,0,2,0.0,0,0
000972,0,0,0,0.0,0,0
000973,5,0,5,0.0,0,0
000975,2,1,1,50.0,0,0
000977,1,0,1,0.0,0,0
000978,3,1,2,33.33,0,0
000980,0,0,0,0.0,0,0
000981,2,2,0,100.0,0,0
000983,0,0,0,0.0,0,0
000985,1,0,1,0.0,0,0
000987,0,0,0,0.0,0,0
000988,0,0,0,0.0,0,0
000989,0,0,0,0.0,0,0
000990,4,2,2,50.0,0,0
000993,2,0,2,0.0,0,0
000995,0,0,0,0.0,0,0
000997,2,0,2,0.0,0,0
000998,3,1,2,33.33,0,0
000999,0,0,0,0.0,0,0
001201,0,0,0,0.0,0,0
001202,0,0,0,0.0,0,0
001203,0,0,0,0.0,0,0
001205,0,0,0,0.0,0,0
001206,0,0,0,0.0,0,0
001207,5,0,5,0.0,0,0
001208,0,0,0,0.0,0,0
001209,2,0,2,0.0,0,0
001210,1,1,0,100.0,0,0
001211,0,0,0,0.0,0,0
001212,2,0,2,0.0,0,0
001213,0,0,0,0.0,0,0
001215,0,0,0,0.0,0,0
001216,3,2,1,66.67,0,0
001217,1,0,1,0.0,0,0
001218,0,0,0,0.0,0,0
001219,0,0,0,0.0,0,0
001221,1,0,1,0.0,0,0
001222,0,0,0,0.0,0,0
001223,0,0,0,0.0,0,0
001225,0,0,0,0.0,0,0
001226,0,0,0,0.0,0,0
001227,0,0,0,0.0,0,0
001228,1,0,1,0.0,0,0
001229,2,0,2,0.0,0,0
001230,4,1,3,25.0,0,0
001231,4,1,3,25.0,0,0
001234,0,0,0,0.0,0,0
001236,0,0,0,0.0,0,0
001238,2,2,0,100.0,0,0
001239,0,0,0,0.0,0,0
001255,0,0,0,0.0,0,0
001256,1,0,1,0.0,0,0
001258,1,0,1,0.0,0,0
001259,0,0,0,0.0,0,0
001260,2,1,1,50.0,0,0
001266,0,0,0,0.0,0,0
001267,1,1,0,100.0,0,0
001268,1,0,1,0.0,0,0
001269,0,0,0,0.0,0,0
001270,0,0,0,0.0,0,0
001277,0,0,0,0.0,0,0
001278,2,0,2,0.0,0,0
001279,0,0,0,0.0,0,0
001282,1,0,1,0.0,0,0
001283,0,0,0,0.0,0,0
001286,1,0,1,0.0,0,0
001287,0,0,0,0.0,0,0
001288,0,0,0,0.0,0,0
001289,1,0,1,0.0,0,0
001296,2,1,1,50.0,0,0
001298,0,0,0,0.0,0,0
001299,0,0,0,0.0,0,0
001300,0,0,0,0.0,0,0
001301,0,0,0,0.0,0,0
001306,0,0,0,0.0,0,0
001308,0,0,0,0.0,0,0
001309,3,1,2,33.33,0,0
001311,1,0,1,0.0,0,0
001313,1,0,1,0.0,0,0
001314,0,0,0,0.0,0,0
001316,3,0,3,0.0,0,0
001317,1,1,0,100.0,0,0
001318,0,0,0,0.0,0,0
001319,1,0,1,0.0,0,0
001322,3,0,3,0.0,0,0
001323,0,0,0,0.0,0,0
001324,2,1,1,50.0,0,0
001326,0,0,0,0.0,0,0
001328,1,0,1,0.0,0,0
001330,0,0,0,0.0,0,0
001331,0,0,0,0.0,0,0
001332,1,1,0,100.0,0,0
001333,0,0,0,0.0,0,0
001335,2,1,1,50.0,0,0
001336,2,2,0,100.0,0,0
001337,1,0,1,0.0,0,0
001338,3,0,3,0.0,0,0
001339,1,0,1,0.0,0,0
001356,0,0,0,0.0,0,0
